mov Rm,Rn	Rm -> Rn	0110nnnnmmmm0011		
mov #imm,Rn	imm -> sign extension -> Rn	1110nnnniiiiiiii		
mova @(disp,PC),R0	(disp*4) + (PC & 0xFFFFFFFC) + 4 -> R0	11000111dddddddd		
mov.w @(disp,PC),Rn	(disp*2 + PC + 4) -> sign extension -> Rn	1001nnnndddddddd		
mov.l @(disp,PC),Rn	(disp*4 + (PC & 0xFFFFFFFC) + 4) -> sign extension -> Rn	1101nnnndddddddd		
mov.b @Rm,Rn	(Rm) -> sign extension -> Rn	0110nnnnmmmm0000		
mov.w @Rm,Rn	(Rm) -> sign extension -> Rn	0110nnnnmmmm0001		
mov.l @Rm,Rn	(Rm) -> Rn	0110nnnnmmmm0010		
mov.b Rm,@Rn	Rm -> (Rn)	0010nnnnmmmm0000		
mov.w Rm,@Rn	Rm -> (Rn)	0010nnnnmmmm0001		
mov.l Rm,@Rn	Rm -> (Rn)	0010nnnnmmmm0010		
mov.b @Rm+,Rn	(Rm) -> sign extension -> Rn, Rm+1 -> Rm	0110nnnnmmmm0100		
mov.w @Rm+,Rn	(Rm) -> sign extension -> Rn, Rm+2 -> Rm	0110nnnnmmmm0101		
mov.l @Rm+,Rn	(Rm) -> Rn, Rm+4 -> Rm	0110nnnnmmmm0110		
mov.b Rm,@-Rn	Rn-1 -> Rn, Rm -> (Rn)	0010nnnnmmmm0100		
mov.w Rm,@-Rn	Rn-2 -> Rn, Rm -> (Rn)	0010nnnnmmmm0101		
mov.l Rm,@-Rn	Rn-4 -> Rn, Rm -> (Rn)	0010nnnnmmmm0110		
mov.b @(disp,Rm),R0	(disp + Rm) -> sign extension -> R0	10000100mmmmdddd		
mov.w @(disp,Rm),R0	(disp*2 + Rm) -> sign extension -> R0	10000101mmmmdddd		
mov.l @(disp,Rm),Rn	(disp*4 + Rm) -> Rn	0101nnnnmmmmdddd		
mov.b R0,@(disp,Rn)	R0 -> (disp + Rn)	10000000nnnndddd		
mov.w R0,@(disp,Rn)	R0 -> (disp*2 + Rn)	10000001nnnndddd		
mov.l Rm,@(disp,Rn)	Rm -> (disp*4 + Rn)	0001nnnnmmmmdddd		
mov.b @(R0,Rm),Rn	(R0 + Rm) -> sign extension -> Rn	0000nnnnmmmm1100		
mov.w @(R0,Rm),Rn	(R0 + Rm) -> sign extension -> Rn	0000nnnnmmmm1101		
mov.l @(R0,Rm),Rn	(R0 + Rm) -> Rn	0000nnnnmmmm1110		
mov.b Rm,@(R0,Rn)	Rm -> (R0 + Rn)	0000nnnnmmmm0100		
mov.w Rm,@(R0,Rn)	Rm -> (R0 + Rn)	0000nnnnmmmm0101		
mov.l Rm,@(R0,Rn)	Rm -> (R0 + Rn)	0000nnnnmmmm0110		
mov.b @(disp,GBR),R0	(disp + GBR) -> sign extension -> R0	11000100dddddddd		
mov.w @(disp,GBR),R0	(disp*2 + GBR) -> sign extension -> R0	11000101dddddddd		
mov.l @(disp,GBR),R0	(disp*4 + GBR) -> R0	11000110dddddddd		
mov.b R0,@(disp,GBR)	R0 -> (disp + GBR)	11000000dddddddd		
mov.w R0,@(disp,GBR)	R0 -> (disp*2 + GBR)	11000001dddddddd		
mov.l R0,@(disp,GBR)	R0 -> (disp*4 + GBR)	11000010dddddddd		
movco.l R0,@Rn	LDST -> T If (T == 1): R0 -> Rn 0 -> LDST	0000nnnn01110011	LDST	
movli.l @Rm,R0	1 -> LDST (Rm) -> R0 When interrupt/exception occured: 0 -> LDST	0000mmmm01100011		
movua.l @Rm,R0	(Rm) -> R0 Load non-boundary alignment data	0100mmmm10101001		
movua.l @Rm+,R0	(Rm) -> R0, Rm + 4 -> Rm Load non-boundary alignment data	0100mmmm11101001		
movt Rn	T -> Rn	0000nnnn00101001		
swap.b Rm,Rn	Rm -> swap lower 2 bytes -> Rn	0110nnnnmmmm1000		
swap.w Rm,Rn	Rm -> swap upper/lower words -> Rn	0110nnnnmmmm1001		
xtrct Rm,Rn	Rm:Rn middle 32 bits -> Rn	0010nnnnmmmm1101		
add Rm,Rn	Rn + Rm -> Rn	0011nnnnmmmm1100		
add #imm,Rn	Rn + (sign extension)imm	0111nnnniiiiiiii		
addc Rm,Rn	Rn + Rm + T -> Rn, carry -> T	0011nnnnmmmm1110	Carry	
addv Rm,Rn	Rn + Rm -> Rn, overflow -> T	0011nnnnmmmm1111	Overflow	
cmp/eq #imm,R0	If R0 = (sign extension)imm: 1 -> T Else: 0 -> T	10001000iiiiiiii	Result	
cmp/eq Rm,Rn	If Rn = Rm: 1 -> T Else: 0 -> T	0011nnnnmmmm0000	Result	
cmp/hs Rm,Rn	If Rn >= Rm (unsigned): 1 -> T Else: 0 -> T	0011nnnnmmmm0010	Result	
cmp/ge Rm,Rn	If Rn >= Rm (signed): 1 -> T Else: 0 -> T	0011nnnnmmmm0011	Result	
cmp/hi Rm,Rn	If Rn > Rm (unsigned): 1 -> T Else: 0 -> T	0011nnnnmmmm0110	Result	
cmp/gt Rm,Rn	If Rn > Rm (signed): 1 -> T Else: 0 -> T	0011nnnnmmmm0111	Result	
cmp/pl Rn	If Rn > 0 (signed): 1 -> T Else: 0 -> T	0100nnnn00010101	Result	
cmp/pz Rn	If Rn >= 0 (signed): 1 -> T Else: 0 -> T	0100nnnn00010001	Result	
cmp/str Rm,Rn	If Rn and Rm have an equal byte: 1 -> T Else: 0 -> T	0010nnnnmmmm1100	Result	
div0s Rm,Rn	MSB of Rn -> Q, MSB of Rm -> M, M ^ Q -> T	0010nnnnmmmm0111	Result	
div0u	0 -> M, 0 -> Q, 0 -> T	0000000000011001	0	
div1 Rm,Rn	1-step division (Rn / Rm)	0011nnnnmmmm0100	Result	
dmuls.l Rm,Rn	Signed, Rn * Rm -> MACH:MACL 32 * 32 -> 64 bits	0011nnnnmmmm1101		
dmulu.l Rm,Rn	Unsigned, Rn * Rm -> MACH:MACL 32 * 32 -> 64 bits	0011nnnnmmmm0101		
dt Rn	Rn-1 -> Rn If Rn = 0: 1 -> T Else: 0 -> T	0100nnnn00010000		
exts.b Rm,Rn	Rm sign-extended from byte -> Rn	0110nnnnmmmm1110		
exts.w Rm,Rn	Rm sign-extended from word -> Rn	0110nnnnmmmm1111		
extu.b Rm,Rn	Rm zero-extended from byte -> Rn	0110nnnnmmmm1100		
extu.w Rm,Rn	Rm zero-extended from word -> Rn	0110nnnnmmmm1101		
mac.l @Rm+,@Rn+	Signed, (Rn) * (Rm) + MAC -> MAC 32 * 32 + 64 -> 64 bits	0000nnnnmmmm1111		
mac.w @Rm+,@Rn+	Signed, (Rn) * (Rm) + MAC -> MAC SH1: 16 * 16 + 42 -> 42 bits Other: 16 * 16 + 64 -> 64 bits	0100nnnnmmmm1111		
mul.l Rm,Rn	Rn * Rm -> MACL 32 * 32 -> 32 bits	0000nnnnmmmm0111		
muls.w Rm,Rn	Signed, Rn * Rm -> MACL 16 * 16 -> 32 bits	0010nnnnmmmm1111		
mulu.w Rm,Rn	Unsigned, Rn * Rm -> MACL 16 * 16 -> 32 bits	0010nnnnmmmm1110		
neg Rm,Rn	0 - Rm -> Rn	0110nnnnmmmm1011		
negc Rm,Rn	0 - Rm - T -> Rn, borrow -> T	0110nnnnmmmm1010	Borrow	
sub Rm,Rn	Rn - Rm -> Rn	0011nnnnmmmm1000		
subc Rm,Rn	Rn - Rm - T -> Rn, borrow -> T	0011nnnnmmmm1010	Borrow	
subv Rm,Rn	Rn - Rm -> Rn, underflow -> T	0011nnnnmmmm1011	Underflow	
and Rm,Rn	Rn & Rm -> Rn	0010nnnnmmmm1001		
and #imm,R0	R0 & (zero extend)imm -> R0	11001001iiiiiiii		
and.b #imm,@(R0,GBR)	(R0 + GBR) & (zero extend)imm -> (R0 + GBR)	11001101iiiiiiii		
not Rm,Rn	~Rm -> Rn	0110nnnnmmmm0111		
or Rm,Rn	Rn | Rm -> Rn	0010nnnnmmmm1011		
or #imm,R0	R0 | (zero extend)imm -> R0	11001011iiiiiiii		
or.b #imm,@(R0,GBR)	(R0 + GBR) | (zero extend)imm -> (R0 + GBR)	11001111iiiiiiii		
tas.b @Rn	If (Rn) = 0: 1 -> T Else: 0 -> T 1 -> MSB of (Rn)	0100nnnn00011011	Result	
tst Rm,Rn	If Rn & Rm = 0: 1 -> T Else: 0 -> T	0010nnnnmmmm1000	Result	
tst #imm,R0	If R0 & (zero extend)imm = 0: 1 -> T Else: 0 -> T	11001000iiiiiiii	Result	
tst.b #imm,@(R0,GBR)	If (R0 + GBR) & (zero extend)imm = 0: 1 -> T Else 0: -> T	11001100iiiiiiii	Result	
xor Rm,Rn	Rn ^ Rm -> Rn	0010nnnnmmmm1010		
xor #imm,R0	R0 ^ (zero extend)imm -> R0	11001010iiiiiiii		
xor.b #imm,@(R0,GBR)	(R0 + GBR) ^ (zero extend)imm -> (R0 + GBR)	11001110iiiiiiii		
